Date,C5TC,C2,C3,C5,C7,C8,C9,C10,C14,C16,C17
2014-11-04,27866.0,,,,,,,,,,
2014-11-05,27285.0,,,,,,,,,,
2014-11-06,26491.0,,,,,,,,,,
2014-11-07,26759.0,,,,,,,,,,
2014-11-10,26287.0,,,,,,,,,,
2014-11-11,24703.0,,,,,,,,,,
2014-11-12,23339.0,,,,,,,,,,
2014-11-13,21201.0,,,,,,,,,,
2014-11-14,21113.0,,,,,,,,,,
2014-11-17,21558.0,,,,,,,,,,
2014-11-18,22719.0,,,,,,,,,,
2014-11-19,22855.0,,,,,,,,,,
2014-11-20,23521.0,,,,,,,,,,
2014-11-21,22990.0,,,,,,,,,,
2014-11-24,22478.0,,,,,,,,,,
2014-11-25,22054.0,,,,,,,,,,
2014-11-26,19098.0,,,,,,,,,,
2014-11-27,16879.0,,,,,,,,,,
2014-11-28,15407.0,,,,,,,,,,
2014-12-01,14752.0,,,,,,,,,,
2014-12-02,14133.0,,,,,,,,,,
2014-12-03,12772.0,,,,,,,,,,
2014-12-04,10685.0,,,,,,,,,,
2014-12-05,9509.0,,,,,,,,,,
2014-12-08,8520.0,,,,,,,,,,
2014-12-09,7984.0,,,,,,,,,,
2014-12-10,7434.0,,,,,,,,,,
2014-12-11,6843.0,,,,,,,,,,
2014-12-12,6139.0,,,,,,,,,,
2014-12-15,5683.0,,,,,,,,,,
2014-12-16,5580.0,,,,,,,,,,
2014-12-17,5394.0,,,,,,,,,,
2014-12-18,5117.0,,,,,,,,,,
2014-12-19,4964.0,,,,,,,,,,
2014-12-22,4896.0,,,,,,,,,,
2014-12-23,4910.0,,,,,,,,,,
2014-12-24,4945.0,,,,,,,,,,
2015-01-02,4884.0,,,,,,,,,,
2015-01-05,4829.0,,,,,,,,,,
2015-01-06,5040.0,,,,,,,,,,
2015-01-07,4967.0,,,,,,,,,,
2015-01-08,4667.0,,,,,,,,,,
2015-01-09,4567.0,,,,,,,,,,
2015-01-12,5387.0,,,,,,,,,,
2015-01-13,7021.0,,,,,,,,,,
2015-01-14,7021.0,,,,,,,,,,
2015-01-15,6983.0,,,,,,,,,,
2015-01-16,7023.0,,,,,,,,,,
2015-01-19,7238.0,,,,,,,,,,
2015-01-20,8054.0,,,,,,,,,,
2015-01-21,9050.0,,,,,,,,,,
2015-01-22,8799.0,,,,,,,,,,
2015-01-23,8096.0,,,,,,,,,,
2015-01-26,7803.0,,,,,,,,,,
2015-01-27,7672.0,,,,,,,,,,
2015-01-28,7356.0,,,,,,,,,,
2015-01-29,6992.0,,,,,,,,,,
2015-01-30,6707.0,,,,,,,,,,
2015-02-02,6604.0,,,,,,,,,,
2015-02-03,6563.0,,,,,,,,,,
2015-02-04,6589.0,,,,,,,,,,
2015-02-05,6719.0,,,,,,,,,,
2015-02-06,6743.0,,,,,,,,,,
2015-02-09,6719.0,,,,,,,,,,
2015-02-10,6852.0,,,,,,,,,,
2015-02-11,6739.0,,,,,,,,,,
2015-02-12,6358.0,,,,,,,,,,
2015-02-13,6113.0,,,,,,,,,,
2015-02-16,5935.0,,,,,,,,,,
2015-02-17,5721.0,,,,,,,,,,
2015-02-18,5447.0,,,,,,,,,,
2015-02-19,5333.0,,,,,,,,,,
2015-02-20,5334.0,,,,,,,,,,
2015-02-23,5357.0,,,,,,,,,,
2015-02-24,5377.0,,,,,,,,,,
2015-02-25,5374.0,,,,,,,,,,
2015-02-26,5362.0,,,,,,,,,,
2015-02-27,5325.0,,,,,,,,,,
2015-03-02,5298.0,,,,,,,,,,
2015-03-03,5092.0,,,,,,,,,,
2015-03-04,4979.0,,,,,,,,,,
2015-03-05,4762.0,,,,,,,,,,
2015-03-06,4768.0,,,,,,,,,,
2015-03-09,4692.0,,,,,,,,,,
2015-03-10,4599.0,,,,,,,,,,
2015-03-11,4357.0,,,,,,,,,,
2015-03-12,4093.0,,,,,,,,,,
2015-03-13,3982.0,,,,,,,,,,
2015-03-16,3922.0,,,,,,,,,,
2015-03-17,3864.0,,,,,,,,,,
2015-03-18,3793.0,,,,,,,,,,
2015-03-19,4048.0,,,,,,,,,,
2015-03-20,4174.0,,,,,,,,,,
2015-03-23,4207.0,,,,,,,,,,
2015-03-24,4292.0,,,,,,,,,,
2015-03-25,4320.0,,,,,,,,,,
2015-03-26,4330.0,,,,,,,,,,
2015-03-27,4290.0,,,,,,,,,,
2015-03-30,4301.0,,,,,,,,,,
2015-03-31,4415.0,,,,,,,,,,
2015-04-01,4305.0,,,,,,,,,,
2015-04-02,4218.0,,,,,,,,,,
2015-04-07,4150.0,,,,,,,,,,
2015-04-08,4140.0,,,,,,,,,,
2015-04-09,4207.0,,,,,,,,,,
2015-04-10,4272.0,,,,,,,,,,
2015-04-13,4231.0,,,,,,,,,,
2015-04-14,4291.0,,,,,,,,,,
2015-04-15,4487.0,,,,,,,,,,
2015-04-16,4656.0,,,,,,,,,,
2015-04-17,4712.0,,,,,,,,,,
2015-04-20,4741.0,,,,,,,,,,
2015-04-21,4761.0,,,,,,,,,,
2015-04-22,4627.0,,,,,,,,,,
2015-04-23,4575.0,,,,,,,,,,
