Date,P5TC,P1A,P2A,P3A,P4,P5,P6,P7,P8
2018-08-14,12023.0,12672.0,20375.0,10050.0,5480.0,9678.0,12523.0,,
2018-08-15,12367.0,12969.0,20663.0,10805.0,5564.0,10006.0,12669.0,,
2018-08-16,12733.0,13517.0,20970.0,11348.0,5607.0,10256.0,12865.0,,
2018-08-17,13070.0,14022.0,21305.0,11700.0,5635.0,10550.0,13153.0,,
2018-08-20,13274.0,14283.0,21608.0,11912.0,5709.0,10867.0,13313.0,,
2018-08-21,13494.0,14497.0,21796.0,12195.0,5757.0,11633.0,13552.0,,
2018-08-22,13772.0,14950.0,22057.0,12409.0,5839.0,,13809.0,,
2018-08-23,14165.0,15560.0,22820.0,12722.0,5896.0,12222.0,14077.0,,
2018-08-24,14360.0,15870.0,23277.0,12886.0,5921.0,12656.0,14172.0,,
2018-08-27,,,,,,12933.0,,,
2018-08-28,14447.0,16065.0,23376.0,12920.0,5916.0,13000.0,14240.0,,
2018-08-29,14449.0,16220.0,23370.0,12828.0,5872.0,13000.0,14208.0,,
2018-08-30,14190.0,15810.0,22983.0,12603.0,5826.0,12900.0,14020.0,,
2018-08-31,13868.0,15210.0,22609.0,12267.0,5770.0,12650.0,13868.0,,
2018-09-03,13610.0,14805.0,22309.0,11994.0,5698.0,12344.0,13697.0,,
2018-09-04,13413.0,14483.0,22085.0,11842.0,5681.0,12167.0,13517.0,,
2018-09-05,13341.0,14245.0,21870.0,11850.0,5652.0,12106.0,13550.0,,
2018-09-06,13430.0,14185.0,21866.0,12225.0,5701.0,12228.0,13568.0,,
2018-09-07,13549.0,14200.0,21859.0,12592.0,5742.0,12522.0,13635.0,,
2018-09-10,13702.0,14405.0,22175.0,12777.0,5777.0,12669.0,13705.0,,
2018-09-11,13790.0,14515.0,22309.0,12850.0,5790.0,12833.0,13795.0,,
2018-09-12,13774.0,14300.0,22195.0,13023.0,5829.0,13022.0,13803.0,,
2018-09-13,13685.0,13880.0,21986.0,13175.0,5848.0,13267.0,13793.0,,
2018-09-14,13641.0,13535.0,21745.0,13358.0,5870.0,13417.0,13855.0,,
2018-09-17,13611.0,13285.0,21591.0,13517.0,5903.0,13531.0,13870.0,,
2018-09-18,13734.0,13285.0,21591.0,13808.0,5937.0,13611.0,14025.0,,
2018-09-19,13824.0,13230.0,21609.0,14003.0,5968.0,13689.0,14193.0,,
